D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
88.5,33.2,5089.57644835631,1061.85831691335,0.208633926160256,415.325067609327,278.030949842697,246.351129523897,375897.844187326,1801710.06271814,602.0
60.0,33.2,2206.18344098343,621.249947247381,0.281594873620505,211.784028476816,188.495559215388,138.538738236166,149099.987339372,529484.025836024,334.0
48.0,33.2,1320.25431267111,489.30305579661,0.370612730517549,192.58057214285,150.79644737231,148.74812896217,93946.1867129492,253488.828032853,273.0
131.76,17.4,12667.6869774374,967.373032901043,0.0763654039308077,447.750416139157,413.936248036991,227.332662731745,255386.480685875,3344269.36204348,535.0
134.3,26.6,12880.030052327,1285.79606780948,0.099828654326562,644.770875327125,421.915893377109,302.162075935228,339450.161901702,3400327.93381432,681.0
101.8,18.0,7226.17078462934,913.098878217628,0.126359991402343,422.262715152969,319.814132135441,292.191641029641,182619.775643526,1445234.15692587,628.0
101.8,18.0,6418.39945499009,1720.87020785688,0.268115161719791,640.396603586171,319.814132135441,524.865413396349,344174.041571377,1283679.89099802,954.0
101.8,37.4,6418.39945499009,1720.87020785688,0.268115161719791,764.913553012979,319.814132135441,524.865413396349,344174.041571377,1283679.89099802,971.0
100.0,18.0,7691.46830264134,162.513331333139,0.0211290386878835,178.09968229283,314.159265358979,39.6532528452859,32502.6662666278,1538293.66052827,239.0
89.27,30.2,5187.40792124377,1071.53442228641,0.206564519034294,399.57657275389,280.449976185961,242.916853532328,289314.29401733,1400600.13873582,491.0
86.54,48.0,5146.63758842255,735.344031585783,0.142878533596372,413.741096204779,271.873428241661,166.702491960497,198542.888528162,1389592.14887409,489.0
165.2,40.9,19324.7686201248,2109.56407308154,0.10916374289132,1547.08366957745,518.991106373034,756.700633014349,1393999.93949228,12769807.1041784,1594.0
76.0,57.0,4026.39080854682,510.068983236839,0.126681439405761,428.431179549536,238.761041672824,198.926903462367,135678.349540999,1071019.95507345,470.0
76.0,57.0,4026.39080854682,510.068983236839,0.126681439405761,428.431179549536,238.761041672824,198.926903462367,135678.349540999,1071019.95507345,480.0
76.0,57.0,4026.39080854682,510.068983236839,0.126681439405761,428.431179549536,238.761041672824,198.926903462367,135678.349540999,1071019.95507345,420.0
76.0,57.0,4026.39080854682,510.068983236839,0.126681439405761,428.431179549536,238.761041672824,198.926903462367,135678.349540999,1071019.95507345,465.0
101.7,57.0,7374.58244901831,748.70436120352,0.101524983465767,704.858856851381,319.499972870082,284.507657257337,266538.752588453,2625351.35185052,770.0
101.7,57.0,7374.58244901831,748.70436120352,0.101524983465767,704.858856851381,319.499972870082,284.507657257337,266538.752588453,2625351.35185052,775.0
101.7,57.0,7374.58244901831,748.70436120352,0.101524983465767,704.858856851381,319.499972870082,284.507657257337,266538.752588453,2625351.35185052,740.0
101.7,57.0,7374.58244901831,748.70436120352,0.101524983465767,704.858856851381,319.499972870082,284.507657257337,266538.752588453,2625351.35185052,690.0
101.7,57.0,7374.58244901831,748.70436120352,0.101524983465767,704.858856851381,319.499972870082,284.507657257337,266538.752588453,2625351.35185052,775.0
